"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000202031",3956.78070007222,-2.22579886288857,0.557055516547663,-3.99564997880804,6.45169972999099e-05,0.00873649132402573
"ENSG00000201321",34.5242839435865,-2.41246877466123,0.702903975302815,-3.43214558378607,0.000598826008029667,0.0419926738130804
"ENSG00000234741",139665.035180783,-2.17840658858781,0.40576072407168,-5.36869750903486,7.93073069351017e-08,7.78599485835361e-05
"ENSG00000143226",119.854175007731,-1.62863491965665,0.377036024615383,-4.31957376305893,1.56330850094947e-05,0.00299659484209566
"ENSG00000202400",1954.81033436928,-2.22470699751154,0.503244458672403,-4.42072825477401,9.83688162803168e-06,0.00227231965607532
"ENSG00000188452",28.7350170791616,2.63772774575774,0.776018662974333,3.39905194502388,0.000676198723678563,0.0449086440248192
"ENSG00000283203",62.3468313174477,2.71252739393077,0.474492770512959,5.71668856197396,1.08619927226161e-08,2.13275227108566e-05
"ENSG00000265706",458.404348795093,-1.87391151566438,0.510835756234094,-3.66832488289181,0.00024414482785161,0.0217899258857562
"ENSG00000202164",5.14739786421264,-4.16618796403376,1.20663434139177,-3.4527344541084,0.00055493499552027,0.0416648386288637
"ENSG00000115317",6.47246115628454,1.99597207362754,0.583937346132131,3.41812711046554,0.000630536521493232,0.043047794684212
"ENSG00000222345",1271.12880089757,-2.38116457215475,0.572387569241772,-4.16005640253337,3.18169012136968e-05,0.00480557581023798
"ENSG00000199609",16.1836362532896,-5.77332856529892,1.16993875946947,-4.9347271543657,8.0262883334338e-07,0.000450274775505636
"ENSG00000202054",14.561768765933,-2.94019451484287,0.823749883568151,-3.56928064390994,0.000357962799112609,0.0292858315024004
"ENSG00000221500",1255.02736129131,-1.86093305544695,0.480763245578506,-3.87078894354263,0.000108483687089273,0.0115139307891777
"ENSG00000305361",31.4285446118156,-3.89696639719047,0.797383491394023,-4.8871922221234,1.02284217698578e-06,0.000502087653627896
"ENSG00000244710",5.3501851956633,3.12942808038295,0.803161014949818,3.89638941897407,9.76373557632241e-05,0.0109270273085977
"ENSG00000201772",68.8653571845295,-1.4439708472734,0.382967658814272,-3.77047725581884,0.000162935652262425,0.0164063668316549
"ENSG00000252316",38.1972322713034,-3.7514970998412,0.835097291228767,-4.49228747266228,7.04622217944465e-06,0.00172940715616745
"ENSG00000106511",27.0553505615726,1.43490501131516,0.39591008274711,3.62432045518709,0.000289722203032631,0.0242072147087052
"ENSG00000200852",32.5542704884676,-3.05586129964926,0.636685539777181,-4.79963986730201,1.58951195803136e-06,0.000617318061649579
"ENSG00000285776",22.3328777269974,-3.12705346435571,0.839210746785788,-3.7261837700869,0.000194400695118347,0.0181985709585586
"ENSG00000207175",29.883975292757,1.67944737858482,0.348708567841602,4.81619189623037,1.46323813118968e-06,0.000617318061649579
"ENSG00000221716",6.00007801100077,-3.20632129854815,0.944409655602591,-3.39505349138168,0.000686151933152318,0.0449086440248192
"ENSG00000244642",18.4807270236481,3.32502926740527,0.589725428447763,5.63826673738184,1.71770296456645e-08,2.24847318061749e-05
"ENSG00000233998",6.4146514730541,-3.17174656065755,0.905980259893446,-3.50090029669143,0.000463689284685385,0.0357040749207747
"ENSG00000238886",21.6957987966437,-1.94588195667671,0.569659996583323,-3.41586554848089,0.000635796305496382,0.043047794684212
"ENSG00000294255",84.2845336520406,-1.91761379554869,0.558657416227259,-3.43253976381227,0.000597956190368178,0.0419926738130804
"ENSG00000222477",11.3795795915536,-3.32185121122645,0.798309092155978,-4.16110907900998,3.16705760149753e-05,0.00480557581023798
"ENSG00000287264",134.276802306709,-1.66092725274178,0.380073825975906,-4.37001219033449,1.24239600603733e-05,0.00261536309999576
"ENSG00000255717",4533.60990681361,-1.73919783138446,0.398349861821502,-4.36600586085751,1.26539085561292e-05,0.00261536309999576
"ENSG00000255008",212.46313222013,-2.33474608417618,0.541861781290027,-4.3087484018854,1.64181008647639e-05,0.00299659484209566
"ENSG00000202314",550.565521499876,-2.1187539459471,0.56064305260772,-3.77914956065564,0.000157364889936709,0.0162624190205646
"ENSG00000199535",5.34645979292594,-5.49365573088866,1.2830810378417,-4.28161243823667,1.85543930446349e-05,0.00316796093418614
"ENSG00000198879",6.7465024555869,2.2189738687231,0.567400058471233,3.91077483266703,9.20005094908576e-05,0.0108444091326951
"ENSG00000221164",7.55873979042232,-3.6341424946404,0.998010294472626,-3.64138778404162,0.000271172320051601,0.0236643044631697
"ENSG00000043591",14.8066261034506,1.64245067601333,0.47645620070369,3.44722279526964,0.000566381302096707,0.0416648386288637
"ENSG00000302642",36.0590421928298,-1.18701609461741,0.344650509916277,-3.44411530076006,0.000572931318043962,0.0416648386288637
"ENSG00000207031",2156.10551647658,-1.7660496541715,0.410344480198426,-4.3038221284651,1.67876461742054e-05,0.00299659484209566
"ENSG00000251898",42.402498243724,-1.37448348231573,0.385836501980509,-3.56234694037623,0.000367554205064845,0.0294568441487683
"ENSG00000202347",9.70170978356358,3.2028890391352,0.613221144756865,5.22305707577175,1.75993114016965e-07,0.000138224991748925
"ENSG00000185352",10.4402702095812,2.27287027985416,0.580818727213297,3.91321796864082,9.1074256604658e-05,0.0108444091326951
"ENSG00000243700",4.76603379110655,3.6366202938395,0.80774125165611,4.50220944687838,6.72506581395069e-06,0.00172940715616745
"ENSG00000242894",37.3678206117656,2.83679810244731,0.460148012974953,6.16496871106064,7.04970786293815e-10,2.76842027777581e-06
"ENSG00000222076",38.497364750847,1.51269388072078,0.370913972244679,4.07828767292408,4.53686091198332e-05,0.00636294742905661
"ENSG00000259932",1689.08060605363,-1.89384409924528,0.521479972775909,-3.63167177670138,0.000281591125123403,0.024039311920861
"ENSG00000261441",77.3480332467636,-1.09237030846757,0.293184729200538,-3.72587723598791,0.000194637122551429,0.0181985709585586
"ENSG00000199568",50.2973444182691,-1.91705799696809,0.483923887648502,-3.96148660129906,7.44845624994424e-05,0.00975002923117701
"ENSG00000258947",23.3468656538882,-2.80442412349126,0.661131040038668,-4.24185820004343,2.21676740070592e-05,0.00362718565940507
"ENSG00000179776",5.85457650811459,3.40428530812351,0.917179963967824,3.71168739163924,0.000205882162409126,0.0188023081809451
"ENSG00000275084",47.8146608713999,-1.87492160887026,0.458069580300315,-4.09309347204641,4.25656029705415e-05,0.0061909304764932
"ENSG00000212163",90.2931443130428,-1.72910986059701,0.364963818778438,-4.73775692720576,2.160967920165e-06,0.00065277854019138
"ENSG00000238793",63.6219405935054,-2.85463089835022,0.599054131240287,-4.76523030137521,1.88638063147312e-06,0.000617318061649579
"ENSG00000134438",11.7656737099798,1.98261579011822,0.502579292776387,3.94488157115607,7.98394271614684e-05,0.0101138525955834
"ENSG00000199874",40.38298440331,-2.77461406139847,0.792063592127131,-3.5030193143294,0.000460016106062568,0.0357040749207747
"ENSG00000101003",14.2091775538204,2.11315079829099,0.543201792245725,3.89017641041781,0.00010017137334085,0.0109270273085977
"ENSG00000238531",1316.18554287984,-2.70707247555535,0.523959298011896,-5.16657016265771,2.38428724659818e-07,0.000156051600289851
"ENSG00000209702",1241.04802890891,-1.57797802679517,0.342990463853315,-4.60064693655744,4.21180793412682e-06,0.00118141212552257
"ENSG00000201025",79.3336208480489,-3.75602768122634,0.786550818338223,-4.77531469506554,1.79426445358209e-06,0.000617318061649579
"ENSG00000210077",10.7137544931177,-2.71559398948456,0.724130621011515,-3.75014384240683,0.000176733161331724,0.017350778113742
"ENSG00000210082",4898.86682670379,-1.51317420107633,0.387411306762696,-3.90585967591083,9.38909881618619e-05,0.0108444091326951
