All statistics are based on contigs of size >= 200 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    contigs
# contigs (>= 0 bp)         18695  
# contigs (>= 1000 bp)      0      
# contigs (>= 5000 bp)      0      
# contigs (>= 10000 bp)     0      
# contigs (>= 25000 bp)     0      
# contigs (>= 50000 bp)     0      
Total length (>= 0 bp)      2570182
Total length (>= 1000 bp)   0      
Total length (>= 5000 bp)   0      
Total length (>= 10000 bp)  0      
Total length (>= 25000 bp)  0      
Total length (>= 50000 bp)  0      
# contigs                   338    
Largest contig              310    
Total length                73696  
GC (%)                      50.31  
N50                         213    
N90                         202    
auN                         219.6  
L50                         160    
L90                         302    
# N's per 100 kbp           0.00   
